source,destination,day_of_week,time_slot,is_weekend,crowd_level
Shivajinagar,Pimpri,Friday,20:00,0,High
Chinchwad,Shivajinagar,Thursday,15:00,0,Medium
Pune,Pimpri,Thursday,06:00,0,Low
Pimpri,Chinchwad,Saturday,05:00,1,Low
Pune,Shivajinagar,Friday,12:00,0,Medium
Pune,Chinchwad,Thursday,19:00,0,High
Shivajinagar,Pimpri,Sunday,10:00,1,Low
Shivajinagar,Chinchwad,Thursday,15:00,0,Medium
Shivajinagar,Pimpri,Monday,16:00,0,Medium
Pune,Chinchwad,Wednesday,15:00,0,Medium
Shivajinagar,Chinchwad,Friday,04:00,0,Low
Pimpri,Shivajinagar,Tuesday,05:00,0,Low
Pune,Pimpri,Sunday,04:00,1,Low
Chinchwad,Pune,Tuesday,06:00,0,Low
Chinchwad,Pune,Saturday,21:00,1,Low
Shivajinagar,Chinchwad,Friday,08:00,0,Medium
Shivajinagar,Chinchwad,Monday,12:00,0,High
Chinchwad,Pimpri,Tuesday,10:00,0,High
Pune,Shivajinagar,Monday,00:00,0,Low
Chinchwad,Pune,Wednesday,13:00,0,Medium
Pune,Chinchwad,Wednesday,06:00,0,Low
Chinchwad,Pune,Tuesday,10:00,0,High
Pune,Chinchwad,Thursday,00:00,0,Medium
Shivajinagar,Pune,Tuesday,19:00,0,High
Pimpri,Pune,Friday,23:00,0,Low
Chinchwad,Pimpri,Friday,17:00,0,High
Pimpri,Shivajinagar,Saturday,21:00,1,Medium
Pune,Shivajinagar,Sunday,05:00,1,Low
Pimpri,Shivajinagar,Saturday,18:00,1,Low
Pune,Pimpri,Tuesday,17:00,0,High
Shivajinagar,Pune,Thursday,13:00,0,Medium
Pimpri,Pune,Wednesday,15:00,0,Medium
Chinchwad,Pune,Wednesday,12:00,0,Low
Pune,Shivajinagar,Friday,21:00,0,Low
Chinchwad,Pimpri,Friday,13:00,0,Medium
Chinchwad,Pimpri,Tuesday,22:00,0,Low
Pimpri,Chinchwad,Tuesday,16:00,0,Medium
Pune,Chinchwad,Monday,20:00,0,High
Shivajinagar,Chinchwad,Monday,20:00,0,High
Chinchwad,Pune,Wednesday,19:00,0,High
Pimpri,Chinchwad,Saturday,18:00,1,Low
Pune,Pimpri,Tuesday,21:00,0,Low
Pimpri,Shivajinagar,Friday,03:00,0,Low
Shivajinagar,Pune,Monday,05:00,0,Low
Pimpri,Shivajinagar,Monday,03:00,0,Low
Shivajinagar,Chinchwad,Tuesday,01:00,0,Low
Shivajinagar,Chinchwad,Wednesday,13:00,0,Low
Pimpri,Shivajinagar,Friday,17:00,0,Medium
Shivajinagar,Pune,Tuesday,18:00,0,High
Shivajinagar,Pimpri,Saturday,02:00,1,Low
Pimpri,Pune,Sunday,02:00,1,Low
Chinchwad,Pune,Wednesday,07:00,0,Low
Shivajinagar,Pune,Monday,18:00,0,High
Pune,Chinchwad,Sunday,15:00,1,Low
Pimpri,Chinchwad,Tuesday,00:00,0,Low
Shivajinagar,Chinchwad,Tuesday,00:00,0,Low
Shivajinagar,Pune,Thursday,17:00,0,High
Pimpri,Chinchwad,Saturday,12:00,1,Low
Pimpri,Shivajinagar,Wednesday,12:00,0,Medium
Chinchwad,Pimpri,Saturday,03:00,1,Low
Pune,Pimpri,Saturday,03:00,1,Low
Shivajinagar,Pimpri,Sunday,03:00,1,Low
Chinchwad,Shivajinagar,Thursday,02:00,0,Medium
Shivajinagar,Chinchwad,Friday,19:00,0,High
Shivajinagar,Pune,Tuesday,02:00,0,Low
Pimpri,Shivajinagar,Thursday,09:00,0,High
Pimpri,Shivajinagar,Friday,17:00,0,High
Shivajinagar,Chinchwad,Sunday,04:00,1,Low
Pimpri,Pune,Monday,20:00,0,High
Pimpri,Chinchwad,Friday,20:00,0,High
Chinchwad,Shivajinagar,Saturday,12:00,1,Medium
Shivajinagar,Chinchwad,Saturday,11:00,1,Medium
Chinchwad,Pimpri,Tuesday,12:00,0,Medium
Chinchwad,Pune,Monday,01:00,0,Low
Shivajinagar,Pimpri,Saturday,03:00,1,Low
Pune,Chinchwad,Wednesday,07:00,0,Low
Pune,Pimpri,Wednesday,17:00,0,High
